real_time_ms [ms],sim_time_ms [ms],timestamp_ms [ms],publish_time [ms],distance_traveled [m],battery_consumption [%],min_obstacle_distance [m],goal_reached,distance_to_goal [m]
1780134444460,90300,90300,0,3.23107,0.0025388,0.499176,0,2.01017
1780134445450,90600,90600,0,3.23107,0.0025388,0.495907,0,2.01017
1780134446447,90900,90900,0,3.23107,0.0025388,0.496048,0,2.01017
1780134447441,91300,91300,0,3.23107,0.0025388,0.50271,0,2.01017
1780134448444,91700,91700,0,3.23107,0.00253881,0.497088,0,2.01017
1780134449472,92000,92000,0,3.23107,0.00253881,0.503642,0,2.01017
1780134450441,92200,92200,0,3.23107,0.00253881,0.496459,0,2.01017
1780134451448,92600,92600,0,3.23107,0.00253881,0.494369,0,2.01017
1780134452449,92900,92900,0,3.23107,0.00253881,0.500531,0,2.01017
1780134453458,93300,93300,0,3.23107,0.00253881,0.495725,0,2.01017
1780134454443,93600,93600,0,3.23107,0.00253881,0.498045,0,2.01017
1780134455442,93900,93900,0,3.23107,0.00253881,0.50024,0,2.01017
1780134456450,94300,94300,0,3.23107,0.00253881,0.499395,0,2.01017
1780134457450,94600,94600,0,3.23107,0.00253881,0.487729,0,2.01017
1780134458451,95000,95000,0,3.23107,0.00253881,0.503242,0,2.01017
1780134459443,95300,95300,0,3.23107,0.00253881,0.501138,0,2.01017
1780134460551,95600,95600,0,3.23107,0.00253881,0.502473,0,2.01017
1780134461483,95800,95800,0,3.23107,0.00253881,0.502407,0,2.01017
1780134462437,96100,96100,0,3.23107,0.00253881,0.500317,0,2.01017
1780134463438,96500,96500,0,3.23107,0.00253881,0.496133,0,2.01017
1780134464438,97100,97100,0,3.23107,0.00253881,0.500156,0,2.01017
1780134465447,97700,97700,0,3.23107,0.00253881,0.503218,0,2.01017
1780134466445,98300,98300,0,3.23107,0.00253881,0.503518,0,2.01017
1780134467439,98700,98700,0,3.23107,0.00253881,0.502855,0,2.01017
1780134468438,99000,99000,0,3.23107,0.00253881,0.497819,0,2.01017
1780134469438,99300,99300,0,3.23107,0.00253881,0.498031,0,2.01017
1780134470439,100200,100200,0,3.23107,0.00253881,0.494823,0,2.01017
1780134471439,101100,101100,0,3.23107,0.00253881,0.490286,0,2.01017
1780134472439,102000,102000,0,3.23108,0.00253881,0.492156,0,2.01017
1780134473440,103000,103000,0,3.23108,0.00253881,0.486387,0,2.01017
1780134474447,103900,103900,0,3.23108,0.00253881,0.503883,0,2.01017
1780134475442,104700,104700,0,3.23108,0.00253881,0.49745,0,2.01017
1780134476442,105600,105600,0,3.23108,0.00253881,0.492323,0,2.01017
1780134477442,106500,106500,0,3.23108,0.00253881,0.499373,0,2.01017
1780134478442,107400,107400,0,3.23108,0.00253881,0.499967,0,2.01017
1780134479443,108200,108200,0,3.23108,0.00253881,0.509818,0,2.01017
1780134480442,109100,109100,0,3.23108,0.00253881,0.496895,0,2.01017
1780134481443,109800,109800,0,3.23108,0.00253881,0.493052,0,2.01017
1780134482447,110600,110600,0,3.23108,0.00253881,0.503157,0,2.01017
1780134483443,111500,111500,0,3.23108,0.00253881,0.503384,0,2.01017
1780134484445,112400,112400,0,3.23108,0.00253881,0.491291,0,2.01017
1780134485443,113100,113100,0,3.23108,0.00253881,0.501829,0,2.01017
1780134486444,114100,114100,0,3.23108,0.00253881,0.506308,0,2.01017
1780134487446,115000,115000,0,3.23108,0.00253881,0.49662,0,2.01017
1780134488444,115900,115900,0,3.23108,0.00253881,0.496862,0,2.01017
1780134489444,116800,116800,0,3.23108,0.00253881,0.504752,0,2.01017
1780134490444,117700,117700,0,3.23108,0.00253881,0.49932,0,2.01017
1780134491445,118600,118600,0,3.23108,0.00253881,0.504859,0,2.01017
1780134492440,119500,119500,0,3.23108,0.00253881,0.496629,0,2.01017
1780134493444,120200,120200,0,3.23108,0.00253881,0.499219,0,2.01017
1780134494451,121000,121000,0,3.23108,0.00253881,0.486636,0,2.01017
1780134495443,121400,121400,0,3.23108,0.00253881,0.485803,0,2.01017
1780134496446,122000,122000,0,3.23108,0.00253881,0.497663,0,2.01017
1780134497442,122600,122600,0,2.93495e-08,1.99214e-10,0.489974,0,2.01017
1780134498442,123500,123500,0,0.00012275,1.45267e-09,0.503972,0,2.01027
1780134499442,124300,124300,0,0.000124425,1.52895e-09,0.501207,0,2.01027
1780134500443,125200,125200,0,0.000125328,1.90983e-09,0.498383,0,2.01027
1780134501445,126100,126100,0,0.000126008,2.14545e-09,0.496826,0,2.01027
1780134502443,127100,127100,0,0.000126291,2.24834e-09,0.507324,0,2.01027
1780134503443,128000,128000,0,0.000126606,2.26932e-09,0.499318,0,2.01027
1780134504443,129000,129000,0,0.000126984,2.41583e-09,0.497277,0,2.01027
1780134505443,129900,129900,0,0.000127402,2.5135e-09,0.501319,0,2.01027
1780134506443,130800,130800,0,0.000127726,2.58088e-09,0.499597,0,2.01027
1780134507445,131700,131700,0,0.000127965,2.61454e-09,0.486616,0,2.01027
1780134508444,132500,132500,0,0.00012832,2.72093e-09,0.490524,0,2.01027
1780134509444,133300,133300,0,0.000128587,2.83749e-09,0.497463,0,2.01027
1780134510444,133800,133800,0,0.000128734,2.85081e-09,0.495695,0,2.01027
1780134511454,134400,134400,0,0.000128912,3.049e-09,0.496953,0,2.01027
1780134512444,134900,134900,0,0.000129104,3.29586e-09,0.49131,0,2.01027
1780134513445,135400,135400,0,0.000129318,3.4193e-09,0.496392,0,2.01027
1780134514459,136100,136100,0,0.000129513,3.59228e-09,0.490802,0,2.01027
1780134515445,136600,136600,0,0.000129651,3.62193e-09,0.506708,0,2.01027
1780134516447,137000,137000,0,0.000129835,3.86011e-09,0.500356,0,2.01027
1780134517446,137500,137500,0,0.000129977,3.88039e-09,0.501748,0,2.01027
1780134518445,138100,138100,0,0.000130217,3.93426e-09,0.50343,0,2.01027
1780134519446,138800,138800,0,0.000130406,4.0736e-09,0.499335,0,2.01027
1780134520454,139500,139500,0,0.000130658,4.11787e-09,0.497058,0,2.01027
1780134521446,139900,139900,0,0.000130789,4.15897e-09,0.50486,0,2.01027
1780134522443,140800,140800,0,0.000131142,4.35931e-09,0.499961,0,2.01027
1780134523445,141700,141700,0,0.000131378,4.46928e-09,0.493271,0,2.01027
1780134524441,142300,142300,0,0.000131633,4.53701e-09,0.499982,0,2.01027
1780134525448,143000,143000,0,0.00013187,4.58698e-09,0.495584,0,2.01027
1780134526441,143900,143900,0,0.000132121,4.72187e-09,0.500345,0,2.01027
1780134527441,144800,144800,0,0.000132458,4.7681e-09,0.493851,0,2.01027
1780134528441,145700,145700,0,0.000132774,4.82244e-09,0.491726,0,2.01027
1780134529441,146500,146500,0,0.000133032,4.98638e-09,0.498065,0,2.01027
1780134530444,147500,147500,0,0.000133349,5.0484e-09,0.501247,0,2.01027
1780134531442,148400,148400,0,0.000133664,5.1747e-09,0.50463,0,2.01027
1780134532442,149300,149300,0,0.000133966,5.36618e-09,0.500625,0,2.01027
1780134533442,150200,150200,0,0.000134319,5.45683e-09,0.490394,0,2.01027
1780134534442,151200,151200,0,0.00013462,5.5646e-09,0.504551,0,2.01027
1780134535446,152100,152100,0,0.000134954,5.79693e-09,0.49549,0,2.01027
1780134536443,153100,153100,0,0.000135282,5.80928e-09,0.49923,0,2.01027
1780134537443,154000,154000,0,0.000135625,5.96019e-09,0.501865,0,2.01027
1780134538444,154900,154900,0,0.000135966,6.15031e-09,0.495426,0,2.01027
1780134539447,155600,155600,0,0.000136155,6.16436e-09,0.497318,0,2.01027
1780134540448,156400,156400,0,0.000249495,5.19866e-07,0.502332,0,2.01004
1780134541445,157200,157200,0,0.0836213,8.57448e-05,0.464434,0,2.08956
1780134542444,157900,157900,0,0.248318,0.000171219,0.420505,0,2.21089
1780134543444,158500,158500,0,0.391042,0.000256138,0.344135,0,2.26601
1780134544472,158900,158900,0,0.500781,0.000336605,0.306434,0,2.28939
1780134545444,159700,159700,0,0.692902,0.000422484,0.292165,0,2.3125
1780134546445,160500,160500,0,0.901724,0.00049771,0.425799,0,2.34618
1780134547445,161300,161300,0,1.03323,0.000556766,0.338677,0,2.37605
1780134548456,161800,161800,0,1.07497,0.000557391,0.331157,0,2.38691
1780134549446,162500,162500,0,1.07611,0.000557927,0.518802,0,2.38767
1780134550448,163100,163100,0,1.07708,0.000558352,0.534612,0,2.38859
1780134551453,163800,163800,0,1.07781,0.000558616,0.530324,0,2.3893
1780134552440,164700,164700,0,1.07843,0.000558777,0.540267,0,2.38983
1780134553447,165200,165200,0,1.07875,0.000558913,0.542231,0,2.39002
1780134554452,165700,165700,0,1.07878,0.000558914,0.548077,0,2.39002
1780134555461,166300,166300,0,1.07879,0.000558916,0.540058,0,2.39002
1780134556453,166900,166900,0,1.07879,0.000558918,0.546268,0,2.39001
1780134557441,167200,167200,0,1.07879,0.000558919,0.543676,0,2.39001
1780134558451,167500,167500,0,1.07879,0.000558919,0.548443,0,2.39001
1780134559466,167700,167700,0,1.07879,0.000558919,0.545138,0,2.39001
1780134560442,168300,168300,0,1.07879,0.00055892,0.539504,0,2.39001
1780134561441,169000,169000,0,1.07879,0.00055892,0.536881,0,2.39001
1780134562444,169600,169600,0,1.07879,0.00055892,0.544009,0,2.39001
1780134563442,170500,170500,0,1.07879,0.00055892,0.531568,0,2.39001
1780134564442,171300,171300,0,1.07879,0.000558921,0.527197,0,2.39001
1780134565451,171900,171900,0,1.07879,0.000558921,0.542632,0,2.39001
1780134566442,172700,172700,0,1.07879,0.000558921,0.544114,0,2.39001
1780134567443,173400,173400,0,1.07879,0.000558921,0.536621,0,2.39001
1780134568444,173900,173900,0,1.07879,0.000558921,0.539654,0,2.39001
1780134569454,174300,174300,0,1.07879,0.000558921,0.54503,0,2.39001
1780134570450,174800,174800,0,1.07879,0.000558921,0.537681,0,2.39001
1780134571444,175400,175400,0,1.07879,0.000558921,0.539037,0,2.39001
1780134572445,176200,176200,0,1.07879,0.000558922,0.536956,0,2.39001
1780134573449,177000,177000,0,1.0788,0.000558922,0.530563,0,2.39001
1780134574446,177800,177800,0,1.0788,0.000558922,0.541849,0,2.39001
1780134575445,178500,178500,0,1.0788,0.000558922,0.533175,0,2.39001
1780134576444,179400,179400,0,1.0788,0.000558922,0.543202,0,2.39001
1780134577445,180200,180200,0,1.0788,0.000558922,0.530554,0,2.39001
1780134578448,180800,180800,0,1.0788,0.000558923,0.532851,0,2.39001
1780134579445,181500,181500,0,1.0788,0.000558923,0.543798,0,2.39001
1780134580445,182200,182200,0,1.0788,0.000558923,0.537968,0,2.39001
1780134581445,183100,183100,0,1.0788,0.000558923,0.535363,0,2.39001
1780134582441,184000,184000,0,1.0788,0.000558923,0.545323,0,2.39001
1780134583442,184900,184900,0,1.0788,0.000558923,0.538348,0,2.39001
1780134584442,185700,185700,0,1.0788,0.000558923,0.540698,0,2.39001
1780134585440,186500,186500,0,1.0788,0.000558924,0.537566,0,2.39001
1780134586440,187300,187300,0,1.0788,0.000558924,0.544739,0,2.39001
1780134587440,188100,188100,0,1.0788,0.000558924,0.540312,0,2.39001
1780134588440,188900,188800,100,1.0788,0.000558924,0.535527,0,2.39001
1780134589441,189800,189800,0,1.0788,0.000558924,0.536152,0,2.39001
1780134590441,190700,190700,0,1.0788,0.000558924,0.536305,0,2.39001
1780134591442,191600,191600,0,1.0788,0.000558924,0.537334,0,2.39001
1780134592442,192500,192500,0,1.0788,0.000558924,0.534376,0,2.39001
1780134593441,193400,193400,0,1.0788,0.000558925,0.541019,0,2.39001
1780134594441,194400,194400,0,1.0788,0.000558925,0.535753,0,2.39001
1780134595442,195300,195300,0,1.0788,0.000558925,0.543191,0,2.39001
1780134596442,196200,196200,0,1.0788,0.000558925,0.546632,0,2.39001
1780134597444,197000,197000,0,1.0788,0.000558925,0.52752,0,2.39001
1780134598442,197900,197900,0,1.0788,0.000558925,0.538016,0,2.39001
1780134599445,198800,198800,0,1.0788,0.000558925,0.528399,0,2.39001
1780134600443,199700,199700,0,1.0788,0.000558925,0.539733,0,2.39001
1780134601448,200500,200500,0,1.0788,0.000558926,0.528552,0,2.39001
1780134602443,201400,201400,0,1.0788,0.000558926,0.544389,0,2.39001
1780134603443,202200,202200,0,1.0788,0.000558926,0.545464,0,2.39001
1780134604444,203200,203200,0,1.0788,0.000558926,0.524741,0,2.39001
1780134605444,204100,204100,0,1.0788,0.000558926,0.540685,0,2.39001
1780134606444,205100,205100,0,1.07881,0.000558926,0.537585,0,2.39001
1780134607448,206000,206000,0,1.07881,0.000558926,0.542065,0,2.39001
1780134608445,206900,206900,0,1.07881,0.000558926,0.539896,0,2.39001
1780134609449,207800,207800,0,1.07881,0.000558926,0.532966,0,2.39001
1780134610452,208600,208600,0,1.07881,0.000558927,0.539035,0,2.39001
1780134611445,209500,209500,0,1.07881,0.000558927,0.542423,0,2.39001
1780134612438,210400,210400,0,1.07881,0.000558927,0.536848,0,2.39001
1780134613438,211400,211400,0,1.07881,0.000558927,0.542628,0,2.39001
1780134614438,212300,212300,0,1.07881,0.000558927,0.535088,0,2.39001
1780134615439,213300,213300,0,1.07881,0.000558927,0.532591,0,2.39001
1780134616438,214100,214100,0,1.07881,0.000558928,0.533165,0,2.39001
1780134617438,215000,215000,0,1.07881,0.000558928,0.548195,0,2.39001
1780134618440,215900,215900,0,1.07881,0.000558928,0.538182,0,2.39001
1780134619438,216800,216800,0,1.07881,0.000558928,0.53076,0,2.39001
1780134620439,217700,217700,0,1.07881,0.000558928,0.538747,0,2.39001
1780134621439,218600,218600,0,1.07881,0.000558928,0.544559,0,2.39001
1780134622440,219500,219500,0,1.07881,0.000558929,0.539912,0,2.39001
1780134623439,220500,220500,0,1.07881,0.000558929,0.525631,0,2.39002
1780134624439,221400,221400,0,1.07881,0.000558929,0.550921,0,2.39002
1780134625440,222400,222400,0,1.07881,0.000558929,0.536614,0,2.39002
1780134626440,223400,223400,0,1.07881,0.000558929,0.535242,0,2.39002
1780134627440,224300,224300,0,1.07881,0.000558929,0.543985,0,2.39002
1780134628442,225200,225200,0,1.07881,0.000558929,0.547429,0,2.39002
1780134629448,226100,226100,0,1.07881,0.000558929,0.540443,0,2.39002
1780134630441,226900,226900,0,1.07881,0.000558929,0.538371,0,2.39002
1780134631440,227700,227700,0,1.07881,0.000558929,0.54116,0,2.39002
1780134632441,228500,228500,0,1.07881,0.000558929,0.539799,0,2.39002
1780134633441,229300,229300,0,1.07881,0.000558929,0.550577,0,2.39002
1780134634442,229900,229900,0,1.07881,0.000558929,0.545249,0,2.39002
1780134635441,230900,230900,0,1.07881,0.00055893,0.540773,0,2.39002
1780134636443,231700,231700,0,1.07881,0.00055893,0.535889,0,2.39002
1780134637442,232300,232300,0,1.07881,0.00055893,0.510511,0,2.39002
1780134638442,233000,233000,0,1.07882,0.00055893,0.532928,0,2.39002
1780134639442,233500,233500,0,1.07882,0.00055893,0.53473,0,2.39002
1780134640442,234100,234100,0,1.07882,0.00055893,0.533754,0,2.39002
1780134641442,234800,234800,0,1.07882,0.00055893,0.545306,0,2.39002
1780134642441,235300,235300,0,1.07882,0.00055893,0.537216,0,2.39002
1780134643441,236200,236200,0,1.07882,0.000558931,0.546284,0,2.39002
1780134644447,237100,237100,0,1.07882,0.000558931,0.545353,0,2.39002
1780134645444,237700,237700,0,1.07882,0.000558931,0.529459,0,2.39002
1780134646441,238500,238500,0,1.07882,0.000558931,0.538146,0,2.39002
1780134647442,239000,239000,0,1.07882,0.000558931,0.536945,0,2.39002
